date,price,area,productivity,quantity
2012-07-30,11000,235.9,74.0,1746.1
2012-07-31,11000,235.9,74.0,1746.1
2012-08-01,11000,235.9,74.0,1746.1
2012-08-02,11000,235.9,74.0,1746.1
2012-08-03,11000,235.9,74.0,1746.1
2012-08-06,11000,235.9,74.0,1746.1
2012-08-07,11000,235.9,74.0,1746.1
2012-08-08,11000,235.9,74.0,1746.1
2012-08-09,11000,235.9,74.0,1746.1
2012-08-10,11000,235.9,74.0,1746.1
2012-08-13,11000,235.9,74.0,1746.1
2012-08-14,11000,235.9,74.0,1746.1
2012-08-15,11000,235.9,74.0,1746.1
2012-08-16,11000,235.9,74.0,1746.1
2012-08-17,11000,235.9,74.0,1746.1
2012-08-20,11000,235.9,74.0,1746.1
2012-08-21,11000,235.9,74.0,1746.1
2012-08-22,11000,235.9,74.0,1746.1
2012-08-23,11000,235.9,74.0,1746.1
2012-08-27,11000,235.9,74.0,1746.1
2012-08-28,11000,235.9,74.0,1746.1
2012-09-04,11000,235.9,74.0,1746.1
2012-09-05,11000,235.9,74.0,1746.1
2012-09-07,11000,235.9,74.0,1746.1
2012-09-10,11000,235.9,74.0,1746.1
2012-09-11,11000,235.9,74.0,1746.1
2012-09-12,11000,235.9,74.0,1746.1
2012-09-13,11000,235.9,74.0,1746.1
2012-09-14,11000,235.9,74.0,1746.1
2012-09-17,11000,235.9,74.0,1746.1
2012-09-20,11000,235.9,74.0,1746.1
2012-09-24,13000,235.9,74.0,1746.1
2012-09-26,11000,235.9,74.0,1746.1
2012-09-28,11000,235.9,74.0,1746.1
2012-10-01,10500,235.9,74.0,1746.1
2012-10-02,10500,235.9,74.0,1746.1
2012-10-03,10500,235.9,74.0,1746.1
2012-10-05,10500,235.9,74.0,1746.1
2012-10-09,10500,235.9,74.0,1746.1
2012-10-10,10500,235.9,74.0,1746.1
2012-10-11,10500,235.9,74.0,1746.1
2012-10-12,10500,235.9,74.0,1746.1
2012-10-16,10500,235.9,74.0,1746.1
2012-10-17,10500,235.9,74.0,1746.1
2012-10-18,10500,235.9,74.0,1746.1
2012-10-19,10500,235.9,74.0,1746.1
2012-10-22,10500,235.9,74.0,1746.1
2012-10-24,10500,235.9,74.0,1746.1
2012-10-26,10500,235.9,74.0,1746.1
2012-10-29,10500,235.9,74.0,1746.1
2012-10-30,10500,235.9,74.0,1746.1
2012-10-31,10500,235.9,74.0,1746.1
2012-11-01,10500,235.9,74.0,1746.1
2012-11-02,10500,235.9,74.0,1746.1
2012-11-05,10500,235.9,74.0,1746.1
2012-11-06,10500,235.9,74.0,1746.1
2012-11-07,10500,235.9,74.0,1746.1
2012-11-09,10500,235.9,74.0,1746.1
2012-11-12,10500,235.9,74.0,1746.1
2012-11-13,10500,235.9,74.0,1746.1
2012-11-14,10500,235.9,74.0,1746.1
2012-11-15,10500,235.9,74.0,1746.1
2012-11-19,10500,235.9,74.0,1746.1
2012-11-21,10500,235.9,74.0,1746.1
2012-11-22,10500,235.9,74.0,1746.1
2012-11-23,10500,235.9,74.0,1746.1
2012-11-26,10500,235.9,74.0,1746.1
2012-11-27,10500,235.9,74.0,1746.1
2012-11-28,10500,235.9,74.0,1746.1
2012-11-29,10500,235.9,74.0,1746.1
2012-11-30,10500,235.9,74.0,1746.1
2012-12-03,10500,235.9,74.0,1746.1
2012-12-04,10500,235.9,74.0,1746.1
2012-12-05,10500,235.9,74.0,1746.1
2012-12-06,10500,235.9,74.0,1746.1
2012-12-07,10500,235.9,74.0,1746.1
2012-12-10,10500,235.9,74.0,1746.1
2012-12-11,10500,235.9,74.0,1746.1
2012-12-12,10500,235.9,74.0,1746.1
2012-12-13,10500,235.9,74.0,1746.1
2012-12-14,10500,235.9,74.0,1746.1
2012-12-17,10500,235.9,74.0,1746.1
2012-12-18,10500,235.9,74.0,1746.1
2012-12-19,10500,235.9,74.0,1746.1
2012-12-20,11000,235.9,74.0,1746.1
2012-12-21,10500,235.9,74.0,1746.1
